Reaction name,SMIRKS,Priority level,Name of rule subset,Rule source
"aliphatic_hydroxylation_(primary_carbon_next_to_tert_carbon)","[CH1;$(C(-[#6])(-[#6])-[CH3]):1][CH3:2]([H])>>[C:1][C:2]O",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(primary_carbon_next_to_sec_carbon)","[#6:1][CH2:2][CH3:3]([H])>>[#6:1][C:2][C:3]O",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(primary_carbon_next_to_SP2_or_SP1)","[C;$(C=*),$(C#*):1][CH3:2]([H])>>[C:1][C:2]O",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(sec_carbon,next_to_CH3)","[CX4:1][CH2:2]([H])[CH3]>>[C:1][C:2](O)C",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(sec_carbon_in_a_ringA)","[CX4;H2:1][CH2;R:2]([H])[CX4;H2:3]>>[C:1][C:2](O)[C:3]",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(sec_carbon_in_a_ringB)","[CX4;H2:1][CH2;R:2]([H])[CX4;!H2:3][*;!#1;$([CH3]),!#6:4]>>[C:1][C:2](O)[C:3][*:4]",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(sec_carbon_next_to_SP2,not_in_a_ring)","[CX4:1][CH2;!R:2]([H])[*;!c;$(*=*):3]>>[C:1][C:2](O)[*:3]",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(sec_carbon_next_to_SP2,in_a_ring)","[CX4:1][CH2;R:2]([H])[*;!c;$(*=*),$([#7]):3]>>[C:1][C:2](O)[*:3]",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(sec_carbon_both_sides_next_to_SP2,in_a_ring)","[*;!c;$(*=*):1][CH2;R:2]([H])[*;!c;$(*=*):3]>>[*:1][C:2](O)[*:3]",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(tert_carbon_next_to_SP2)","[C:1][CH1;X4:2]([C;!$([CH3]):3])([H])[N,C&$([C]=*):4]>>[C:1][C:2](O)([C:3])[*:4]",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_hydroxylation_(tert_carbon_linked_to_two_CH3_groups)","[CH3][CH1;X4;!$(Cc):1]([H])[CH3]>>C[C:1](O)C",common,Phase 1 SyGMa rules,SyGMa
"benzylic_hydroxylation_(c-CH3)","[c:1][CH3:2]([H])>>[c:1][C:2]O",common,Phase 1 SyGMa rules,SyGMa
"benzylic_hydroxylation_(c-CH2-CH3)","[c:1][CH2:2]([H])[CH3:3]>>[c:1][C:2](O)[C:3]",common,Phase 1 SyGMa rules,SyGMa
"benzylic_hydroxylation_(c-CH2-CR)","[c:1][CH2:2]([H])[#6;!$([CH3]):3]>>[c:1][C:2](O)[#6:3]",common,Phase 1 SyGMa rules,SyGMa
"benzylic_hydroxylation_(c-CH2-N)","[c:1][CH2:2]([H])[NH0:3]>>[c:1][C:2](O)[N:3]",common,Phase 1 SyGMa rules,SyGMa
"benzylic_hydroxylation_(c-CH1-CH3)","[c:1][CH1;X4;!$(C[O,N]):2]([H])[CH3:3]>>[c:1][C:2](O)[C:3]",common,Phase 1 SyGMa rules,SyGMa
"benzylic_hydroxylation_(c-CH1-CR)","[c:1][CH1;X4;!$(C[O,N]):2]([H])[#6;c,$(C=*):3]>>[c:1][C:2](O)[#6:3]",common,Phase 1 SyGMa rules,SyGMa
"carbonyl_reduction_(aliphatic)","[C;X4:1][C:2](=[O:3])[C;X4:4]>>[C:1][C:2](-[O:3])[C:4]",common,Phase 1 SyGMa rules,SyGMa
"carbonyl_reduction_(next_to_SP2_carbon)","[C;X3:1][C:2](=[O:3])[C;X4:4]>>[C:1][C:2](-[O:3])[C:4]",common,Phase 1 SyGMa rules,SyGMa
"carbonyl_reduction_(next_to_aromatic_carbon)","[c:1][C:2](=[O:3])[C;X4:4]>>[c:1][C:2](-[O:3])[C:4]",common,Phase 1 SyGMa rules,SyGMa
"carbonyl_reduction_(both_sides_next_to_aromatic_carbon)","[c:1][C:2](=[O:3])[c:4]>>[c:1][C:2](-[O:3])[c:4]",common,Phase 1 SyGMa rules,SyGMa
"aldehyde_reduction_(aliphatic)","[C:1][CH1:2]=[O:3]>>[C:1][C:2]-[O:3]",common,Phase 1 SyGMa rules,SyGMa
"aldehyde_reduction_(aromatic)","[c:1][CH1:2]=[O:3]>>[c:1][C:2]-[O:3]",common,Phase 1 SyGMa rules,SyGMa
"double_bond_reduction","[C;$(C[OH1]),$(C=O):1][C:2]=[C;!$(Cc):3]>>[C:1][C:2]-[C:3]",common,Phase 1 SyGMa rules,SyGMa
"double_bond_reduction_(aromatic)","[c;$(c=O);r:1]:,-[c;r:2]:,=[c;H1;$(c[#8]),$(c[#7]);r:3]>>[C:1]-[C:2]([H])-[C:3]([H])",common,Phase 1 SyGMa rules,SyGMa
"double_bond_reduction_(benzylic)","[C;$(C[OH1]),$(C=O):1][C:2]=[C;$(Cc):3]>>[C:1][C:2]-[C:3]",common,Phase 1 SyGMa rules,SyGMa
"aldehyde_oxidation_(aliphatic)","[C:1][CH1:2]([H])=[O:3]>>[C:1][C:2](O)=[O:3]",common,Phase 1 SyGMa rules,SyGMa
"aldehyde_oxidation_(aromatic)","[c:1][CH1:2]([H])=[O:3]>>[c:1][C:2](O)=[O:3]",common,Phase 1 SyGMa rules,SyGMa
"O-deacetylation","[#6:1][O:2]C(=O)[CH3]>>[#6:1][O:2]",common,Phase 1 SyGMa rules,SyGMa
"N-deacetylation","[N:2]C(=O)[CH3]>>[N:2]",common,Phase 1 SyGMa rules,SyGMa
"decarboxylation","[*;!C;!#1:1]~[#6:2]C(=O)[OH1]>>[*:1]~[#6:2]",common,Phase 1 SyGMa rules,SyGMa
"oxidative_decarboxylation","[O:1]=[C:2][C](=O)[O]>>[O:1]=[C:2][O]",common,Phase 1 SyGMa rules,SyGMa
"beta-oxidation","[CH2:1]([H])([H])[CH2]C(=O)[OH1]>>[C:1](=O)O",common,Phase 1 SyGMa rules,SyGMa
"dehydrogenation_(alpha,beta_to_SP2_both_sides)","[*;$([#6&X3]),$([#7]~[#6X3]):1][CX4;H1&!$(C-[!#6;!#1]),H2:2]([H])[CX4;H2:3]([H])[*;$([#6&X3]),$([#7]~[#6X3]):4]>>[*:1][CH0:2]=[CH0:3][*:4]",common,Phase 1 SyGMa rules,SyGMa
"dehydrogenation_(CH1-CH3->C=CH2)","[#6X3:1][CH1&!$(C-[!#6;!#1]):2]([H])[CH3:3]([H])>>[#6:1][CH0:2]=[CH2:3]",common,Phase 1 SyGMa rules,SyGMa
"dehydrogenation_(CH2-CH3->C=CH2)","[#6X3:1][CH2:2]([H])[CH3:3]([H])>>[#6:1][CH1:2]=[CH2:3]",common,Phase 1 SyGMa rules,SyGMa
"dehydrogenation_(amine)","[N,c:1][C;X4;H1:2]([H])-[N;X3;H1:3]([H])>>[*:1][CH0:2]=[NH0:3]",common,Phase 1 SyGMa rules,SyGMa
"dehydrogenation_(aromatization_of_1,4-dihydropyridine)","[c:1][#6:2]([H])1[#6:3]=[#6:4][NH1:5]([H])[#6:6]=[#6:7]1>>[c:1][#6H0:2]1=[#6:3][#6:4]=[NH0:5][#6:6]=[#6:7]1",common,Phase 1 SyGMa rules,SyGMa
"dehydration_next_to_SP2_both_sides","[CX4!H0;$(C[#6X3]),$(C[#7]~[#6X3]):1]([H])-[CX4;$(C[#6X3]),$(C[#7]~[#6X3]):2]([OH1])>>[CH0:1]=[C:2]",common,Phase 1 SyGMa rules,SyGMa
"dehydration_next_to_SP2_a","[CX4!H0;!$(C[*;#6&X3]);!$(C[#7]~[#6X3]):1]([H])-[CX4;$(C[#6X3]),$(C[#7]~[#6X3]):2]([OH1])>>[CH0:1]=[C:2]",common,Phase 1 SyGMa rules,SyGMa
"dehydration_next_to_SP2_b","[CX4!H0;$(C[#6X3]),$(C[#7]~[#6X3]):1]([H])-[CX4;!$(C[*;#6&X3]);!$(C[#7]~[#6X3]):2]([OH1])>>[CH0:1]=[C:2]",common,Phase 1 SyGMa rules,SyGMa
"primary_alcohol_oxidation_(benzylic)","[c:1][CH2:2]([H])([H])[OH1]>>[c:1][C:2](=O)O",common,Phase 1 SyGMa rules,SyGMa
"primary_alcohol_oxidation_(aliphatic)","[C:1][CH2:2]([H])([H])[OH1]>>[C:1][C:2](=O)O",common,Phase 1 SyGMa rules,SyGMa
"secondary_alcohol_oxidation_(aliphatic)","[C;!$(C[OH1]):1][CH1:2]([H])([C;!$(C[OH1]):3])-[OH1:4]([H])>>[C:1][CH0:2]([C:3])=[OH0:4]",common,Phase 1 SyGMa rules,SyGMa
"secondary_alcohol_oxidation_(benzylic)","[c:1][CH1:2]([H])([C:3])-[OH1:4]([H])>>[c:1][CH0:2]([C:3])=[O:4]",common,Phase 1 SyGMa rules,SyGMa
"sulfoxide_oxidation_(c-S-C)","[c:1][S;X3:2](=[O:3])[C:4]>>[c:1][S:2](=[O:3])(=O)[C:4]",common,Phase 1 SyGMa rules,SyGMa
"sulfoxide_oxidation_(C-S-C)","[C:1][S;X3:2](=[O:3])[C:4]>>[C:1][S:2](=[O:3])(=O)[C:4]",common,Phase 1 SyGMa rules,SyGMa
"sulfoxide_oxidation_(c-S-c)","[c:1][S;X3:2](=[O:3])[c:4]>>[c:1][S:2](=[O:3])(=O)[c:4]",common,Phase 1 SyGMa rules,SyGMa
"sulfide_oxidation_(c-S-C)","[c:1][S;X2:2][C:4]>>[c:1][S:2](=O)[C:4]",common,Phase 1 SyGMa rules,SyGMa
"sulfide_oxidation_(C-S-C)","[C:1][S;X2:2][C:4]>>[C:1][S:2](=O)[C:4]",common,Phase 1 SyGMa rules,SyGMa
"sulfide_oxidation_(c-S-c)","[c:1][#16;X2:2][c:4]>>[c:1][#16:2](=O)[c:4]",common,Phase 1 SyGMa rules,SyGMa
"sulfide_oxidation_(c-S-c)","[c:1][S;X2:2][c:4]>>[c:1][S:2](=O)[c:4]",common,Phase 1 SyGMa rules,SyGMa
"thiophene_oxidation","[sr5:1]>>[sr5:1]=O",common,Phase 1 SyGMa rules,SyGMa
"sulfoxide_reduction","[S;X3;$(S([#6])[#6]):1]=O>>[S:1]",common,Phase 1 SyGMa rules,SyGMa
"epoxide_hydrolysis","[C:1]1O[C:2]1>>[C:1](O)[C:2]O",common,Phase 1 SyGMa rules,SyGMa
"oxidative_deamination_(amidine)","[#6:1][N:2]=;@[C:3]([#6:4])[N:5]>>([#6:1][N:2]-[C:3]([#6:4])=O.[N:5])",common,Phase 1 SyGMa rules,SyGMa
"oxidative_deamination_(aromatic)","[nX2:1][c:2]([N:3])>>[nH1:1]([H])-[c:2](=O.[N:3])",common,Phase 1 SyGMa rules,SyGMa
"oxidative_deamination_(aromatic)","[nX2:1]1[c:2]([N:3])[a:4][a:5][a:6][a:7]1>>[nX2:1]([H])1-[c:2](=O.[N:3])-[a:4]=[a:5]-[a:6]=[a:7]-1",common,Phase 1 SyGMa rules,SyGMa
"oxidative_deamination_(aromatic)","[nX2:1]1[c:2]([N:3])[a:4][n:5]([H])[a:6]1>>[nH1:1]([H])1-[c:2](=O.[N:3])-[a:4]-[n:5]=[a:6]-1",common,Phase 1 SyGMa rules,SyGMa
"oxidative_deamination_(on_primary_carbon)","[C:1][CH2:2]([H])[NH2]>>[C:1][CH1:2]=O",common,Phase 1 SyGMa rules,SyGMa
"oxidative_deamination_(on_secondary_carbon)","[C:1][CH1:2]([H])([C:3])[NH2]>>[C:1][CH0:2]([C:3])=O",common,Phase 1 SyGMa rules,SyGMa
"nitro_to_aniline","[c:1][N+](=O)[O-]>>[c:1][NH2]",common,Phase 1 SyGMa rules,SyGMa
"aniline_to_nitro","[c;$(c1[cH1][cH1][c]([*;!#1])[cH1][cH1]1):1][NH2]>>[c:1][N+](=O)[O-]",common,Phase 1 SyGMa rules,SyGMa
"aliphatic_dehalogenation","[CX4;H1,H2:1][Cl,Br,I]>>[C:1]O",common,Phase 1 SyGMa rules,SyGMa
"aromatic_dechlorination","[c;$(c1ccc([#7])cc1):1][Cl]>>[c:1]O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(hydroxyl-5bonds-carboxyl)","[OH1][C:2]!@[*:3]~!@[*:4][C;!$(CC1OCC(O)C(O)C1O)](=O)-[OH1]>>O1[C:2][*:3]~[*:4]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(hydroxyl-5bonds-carboxyl)","[OH1][C:2]@[*:3]~!@[*:4][C;!$(CC1OCC(O)C(O)C1O)](=O)-[OH1]>>O1[C:2][*:3]~[*:4]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(hydroxyl-5bonds-carboxyl)","[OH1][C:2]!@[*:3]~@[*:4][C;!$(CC1OCC(O)C(O)C1O)](=O)-[OH1]>>O1[C:2][*:3]~[*:4]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(NH1-5bonds-carboxyl)2","[NH1;!$(NC=O):1]([H])[#6:2]~!@[*:3]~!@[*:4]C(=O)-[OH1]>>[N:1]1[#6:2]~[*:3]~[*:4]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(NH1-5bonds-carboxyl)2","[NH1;!$(NC=O):1]([H])[#6:2]~[*:3]~!@[*:4]C(=O)-[OH1]>>[N:1]1[#6:2]~[*:3]~[*:4]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(NH1-5bonds-carboxyl)2","[NH1;!$(NC=O):1]([H])[#6:2]~!@[*:3]~[*:4]C(=O)-[OH1]>>[N:1]1[#6:2]~[*:3]~[*:4]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(hydroxyl-6bonds-carboxyl)","[OH1][C:2]!@[*:3]~!@[*:4]~!@[*:5][C;!$(CC1OCC(O)C(O)C1O)](=O)-[OH1]>>O1[C:2][*:3]~[*:4]~[*:5]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(hydroxyl-6bonds-carboxyl)","[OH1][C:2]@[*:3]~!@[*:4]~!@[*:5][C;!$(CC1OCC(O)C(O)C1O)](=O)-[OH1]>>O1[C:2][*:3]~[*:4]~[*:5]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(hydroxyl-6bonds-carboxyl)","[OH1][C:2]!@[*:3]~@[*:4]~!@[*:5][C;!$(CC1OCC(O)C(O)C1O)](=O)-[OH1]>>O1[C:2][*:3]~[*:4]~[*:5]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(hydroxyl-6bonds-carboxyl)","[OH1][C:2]!@[*:3]~!@[*:4]~@[*:5][C;!$(CC1OCC(O)C(O)C1O)](=O)-[OH1]>>O1[C:2][*:3]~[*:4]~[*:5]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(NH1-6bonds-carboxyl)","[NH1;!$(NC=O):1]([H])[#6:2]~!@[*:3]~!@[*:4]~!@[*:5]C(=O)-[OH1]>>[N:1]1[#6:2]~[*:3]~[*:4]~[*:5]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(NH1-6bonds-carboxyl)","[NH1;!$(NC=O):1]([H])[#6:2]~@[*:3]~!@[*:4]~!@[*:5]C(=O)-[OH1]>>[N:1]1[#6:2]~[*:3]~[*:4]~[*:5]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(NH1-6bonds-carboxyl)","[NH1;!$(NC=O):1]([H])[#6:2]~!@[*:3]~@[*:4]~!@[*:5]C(=O)-[OH1]>>[N:1]1[#6:2]~[*:3]~[*:4]~[*:5]C1=O",common,Phase 1 SyGMa rules,SyGMa
"ring_closure_(NH1-6bonds-carboxyl)","[NH1;!$(NC=O):1]([H])[#6:2]~!@[*:3]~!@[*:4]~@[*:5]C(=O)-[OH1]>>[N:1]1[#6:2]~[*:3]~[*:4]~[*:5]C1=O",common,Phase 1 SyGMa rules,SyGMa
"hydrolysis_(methoxyester)","[C;$(C=O):1][O:2][CH3]>>[C:1][O:2]",common,Phase 1 SyGMa rules,SyGMa
"hydrolysis_(ester)","[C$(C[#6!H3]):2](=[O:3])O[#6!H3:4]>>([C:2](=[O:3])O.O[#6:4])",common,Phase 1 SyGMa rules,SyGMa
"hydrolysis_(primary_amide)","[C$(C[#6!H3]):2](=[O:3])[NH2]>>[C:2](=[O:3])O",common,Phase 1 SyGMa rules,SyGMa
"hydrolysis_(secondary_amide)","[C$(C[#6!H3]):2](=[O:3])[NH1:4][#6:5]>>([C:2](=[O:3])O.[N:4][#6:5])",common,Phase 1 SyGMa rules,SyGMa
"hydrolysis_(tertiary_amide)","[C$(C[#6!H3]):2](=[O:3])[#7:4]([#6:5])[#6:6]>>([C:2](=[O:3])O.[#7:4]([#6:5])[#6:6])",common,Phase 1 SyGMa rules,SyGMa
"hydrolysis_(heteroatom_bonded_amide)","[C$(C[#6!H3]):2](=[O:3])[N:4][*;!#6;!#1:5]>>([C:2](=[O:3])O.[N:4][*:5])",common,Phase 1 SyGMa rules,SyGMa
"hydrolysis_(urea_or_carbonate)","[#7,#8:1][C:2](=[O:3])[#7,#8:4][*;!#1:5]>>([*:1][C:2](=[O:3])O.[*H1:4][*:5])",common,Phase 1 SyGMa rules,SyGMa
"hydrolysis_(X=X-X_exclude_phosphate)","[*;!#1:5][*;!#6;!#1;!$(S(=O)(=O)N);!$(P(O)(O)(O)=O):1](=[*;!#6;!#1:2])[N,O:3][*;!#1:4]>>([*:5][*:1](=[*:2])O.[*:3][*:4])",common,Phase 1 SyGMa rules,SyGMa
"hydrolysis_(CNC(OH)R)","[#6:1][N:2][CH1]([OH1])[*;!#1:3]>>([#6:1][N:2].C(=O)[*:3])",common,Phase 1 SyGMa rules,SyGMa
"N-oxidation_(tertiary_N)","[C;X4;!H3;!$(C(N)[!#6;!#1]):1][N;X3:2]([C;X4;!H3;!$(C(N)[!#6;!#1]):3])[C;X4;!H3;!$(C(N)[!#6;!#1]):4]>>[C:1][N+:2]([C:3])([C:4])[O-]",common,Phase 1 SyGMa rules,SyGMa
"N-oxidation_(tertiary_NCH3)","[C;X4;!H3;!$(C(N)[!#6;!#1]):1][N;X3:2]([CH3:3])[C;X4;!H3;!$(C(N)[!#6;!#1]):4]>>[C:1][N+:2]([C:3])([C:4])[O-]",common,Phase 1 SyGMa rules,SyGMa
"N-oxidation_(RN(CH3)2)","[C;X4;!$(C(N)[!#6;!#1]):1][N;X3:2]([CH3:3])[CH3:4]>>[C:1][N+:2]([C:3])([C:4])[O-]",common,Phase 1 SyGMa rules,SyGMa
"N-oxidation_(-N=)","[#6:1]~[#7;X2;R:2]~[#6:3]>>[#6:1]~[#7+:2](~[#6:3])[O-]",common,Phase 1 SyGMa rules,SyGMa
"N-oxidation_(aniline)","[c:1][NH2:2]([H])>>[c:1][N:2]O",common,Phase 1 SyGMa rules,SyGMa
"acetyl_shift","[#6:1][C:2](=O)O[C:5][C:6][OH1]>>[#6:1][C:2](=O)O[C:6][C:5]O",common,Phase 1 SyGMa rules,SyGMa
"tautomerisation_(keto->enol)","[c:1][C:2](=[O:3])[CH2:4]([H])[#6:5]>>[c:1][C:2](-[O:3])=[C:4][#6:5]",common,Phase 1 SyGMa rules,SyGMa
"vinyl_oxidation","[#6:3][CH1:1]=[CH2:2]>>[#6:3][C:1](O)-[C:2]O",common,Phase 1 SyGMa rules,SyGMa
